classification,tweet
"positive","&lt;--- New Icon. I may just be changing icons a lot as long as Jennette uploads pics cause she is just too beautiful"
"positive","Dr. Mohammed Morsi announced as Egypt's first elected President after the glorious 25th of Jan Revolution.... http://t.co/K9HonCHt"
"positive","@BenThePCGuy Only you can answer before I try! There's on WP8 a way to call 3rd p. apps? Like Intents on Android. I wanna switch to WP!"
"negative","Protest against the Mitch Daniels Purdue Presidential nomination tomorrow @ Loeb Theater 2:30 pm. Bring a friend! #SOAPurdue"
"positive","Dr. Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt!"
"negative","This Thursday Night Football game sucks. But Go Chiefs! I just want to see hot head Rivers explode on the sideline tonight."
"positive","Feels like Super Bowl Sunday waiting for the big TNF game tonight! What's everyone doing for KC v SD?!? #cantcontainexcitement"
"positive","Nebraska placed a nation-leading nine players on the first-ever Senior Bowl watch list released Saturday... http://t.co/xXEbwBKQ"
"positive","@Ian_Walters_89 in London for Boro match Saturday... let me know what night you're out... Friday may suit me better like if optional"
"positive","Playing @garbage all day to prep for tomorrow's concert at Fort Canning. Go, baby, go go!"
"positive","@TheReidReport &amp; if the POTUS wins 2nd term isn't that NJ gov gonna go back to bashing him when his state is in better shape (2/2)"
"negative","@Mona_ElAshry ...those who killed Sadat are the reasons why Egyptians struggled in the past, and may face uncertain future .."
"negative","Watching my favourite @Oprah behind the scenes (for the 4th time) when Jennifer Hudson goes AWOL. 'Excuse me, what the hell is going on?!'"
"positive","Fabio Capello: "From what I've seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow"."
"positive","Photo: Fab find! Jason Wu satin scarlet clutch at Off 5th! Whoop whoop! (Taken with Instagram) http://t.co/ZUp3WZK7"
"negative","Time for James Harden (34 Points) to step aside and let Jeremy Lin Takeover the 4th #Linsanity #Sarcasm"
"positive","@BYS1981 @theohioraider2 I remember 1st seeing Veldheer @ the senior bowl thinking this kid can ball. Fortunately we got him"
"positive",""Success Saturday"- Having a great time at the 4th Annual Girlfriend Group Celebration! @Cheryl Wood @Chere Cofield @Vanessa Maddox"
"positive","SAG For Life: Stacey, April, Gabriel irieapril #mrandmrscheek happy wedding day Gabe! @ North Star Ballroom http://t.co/ywlcBEuN"
"positive","The best thing about Walking Dead returning is it means Spartacus will be back soon too! (Dammit, Starz site says January)"
"positive","Thanks to Jesus, CVS, My Mom &amp; My Mary...I was able to kick this flu in 1 week! Now to make it w/out My MaryJane until Monday! #struggles"
"positive","@WayIeroToroWay Ahah he's a year older then me, the cool thin is that he's born on Australia day and I'm Born on the 4th of July I think"
"positive","@923NowFM @jenniferhudson just saw jennifer Hudson on 26th street she looks great!! Super skinny"
"negative","NFL Commissioner Roger Goodell says he may cancel the Pro Bowl: http://t.co/XXsEiykQ Would you care if there was no Pro Bowl?"
"negative","I swear if tomorrow any Niner fans start tweeting about Kyle Williams tomorrow, best believe I'm gonna put you on check."
"positive","recap. I saw Bad 25 on Tuesday. The Spike Lee Documentary on Michael Jackson. It was beyond amazing. &amp;&amp; it was only showing for 6 days."
"positive","Harry Styles rocking Lyle and Scott. he may only be 10...but be honest, you wish you had his life.. @Lyle_and_Scott http://t.co/W8J9sTx1"
"positive","Good Luck to @lilpeterr tomorrow at the #FreakShow in Las Vegas !! Get after it man. You're going to smash on fools! :)"
"positive","February 13th, the day before and best buddy to valentines day, Desperation Day"
"positive","Tickets for the France, Belgium, Netherlands, Germany, Denmark, Norway, and Sweden TMH tour go on sale tomorrow! Good luck! :) via @1DScoop"
"negative","We're experiencing some issues with Fuel TV (Ch 39). Should be back up Friday or Monday."
"positive","Sushis + Rafa on the TV = best way to end this Sunday. #vamos :-)"
"positive","KPop: Will Psy be the first Korean to win a Grammy?: Psy may qualify for the upcoming Grammy Awards. Gangnam Sty... http://t.co/UzYofPAE"
"positive","Sticks and stones may break my bones, but Rugby does it better!"
"negative","Is it evil to laugh when a 3rd grader reads a short story, and at least five times, mistakes the name "Becky" for "Blocky?" #stickingtoit"
"negative","@gianicos @mikejefferiesl4 That's like blaming Rafa for the season we finished 7th while ignoring the negative impact of Cecil and H&amp;G!"
"positive","@butt3r I'm with you on Mass Effect 3. Thats GOTY for me so far. Still waiting on my other two, but one may be Persona 4 Arena."
"negative","http://t.co/MVcHYgAE  Visit to #Iran by five Euro MPs was called off Sat after Tehran refused to let them meet with a jailed activist"
"positive","#Linsanity"@ESPNStatsInfo: Jeremy Lin was a +23 for Rockets in his debut. That's the 2nd-best plus-minus for him in any game in his career.""
"positive","@RosiePierri My husband company is bring you all some much needed gas!!! He should be there sometime tomorrow afternoon from FL."
"positive","If your in Indianapolis tomorrow swing by the Macy's at Castelton mall from  5:30-7:30. I'll be there signing autographs and pictures!"
"positive","Cannot wait to see @fancystepdad with my boys @ThePrinceRupert and @JakeCausey next Friday in Athens!"
"positive","yay~ payday today, and i'll be in austin tomorrow nite to see leonard cohen!!! i gotsa four~day weekend on my hands!! happy fukn Halloween!!"
"positive","Long Princeton (and Diggy)  #imagine : Happy Valentine's day (yn)... February 14 It's been 9 m http://t.co/0S4VVpy2 via @Nounouche10"
"positive","Hey Daryl! Great connecting at Anti #Fracking Colorado. Excited to have you in next issue. Deadline is Nov 15th. @dhlovelife"
"positive","I am happy to be single but I would love to receive a valentines card on the 14th. It has to be from someone amazing- @justinbieber for eg!"
"negative","Niggas was really on some 10th grade shit tonight"
"negative","TOI Israel admits 1988 killing of Arafat's deputy: Israel for the first time on Thursday admitted responsibility... http://t.co/vGBUfy9D"
"positive","Thanks to everyone who came out Friday night to see us with threat signal at dickens! Awesome night!!!"
"positive","@nery_lr cool this is cool i managed to get the CTS sun in the pic and black stars for Avril now for lawson"
"negative","@jamesjammcmahon get @DONBROCO on february for valentine's day, the suave fuckers"
"positive","@frankiegavin1 Out with the old, in with the new, shown good discipline in the 1st 4 rounds tonight Frankie, kept a cool head! #andthenew"
"positive","can't believe @Alesso is only 2 days older than me! can't wait to see him again tomorrow with @davidguetta at Fort Canning, Singapore!!"
"positive","We're excited for TRUNK OR TREAT tomorrow (Nov 2) night at the Boys and Girls Club in Pottstown. It will start at... http://t.co/63Gffmd5"
"positive","http://t.co/soUJI3Zj New #sexy comment about: TheEuropeanDream is available in Indianapolis: friday-sunday!"
"positive","@lilyeliza1 Bruce Willis, Bill Murray and Ed Norton all in the same film. I may faint."
"positive","I've seen every Denzel Washington movie and Flight has @itsjustinmartin in it too ! I miss that kid ! But I'm in that theatre tomorrow !"
"positive","Lucky shops are coming to NYC!: The sale of the season hosted by Lucky Magazine with Grammy winner Jennifer Hudson, starts November 1..."
"positive","I still have a lot of candy left anyone want tomorrow :')"
"negative","Buffalo Bills' Kyle Williams Misses Practice Thursday: For a second straight day, Buffalo Bills... http://t.co/8AeiukXD #BILLS #NFL"
"negative","I go on channel 7 to see what the weather is gonna be like tomorrow and   Taylor Swift singing.. #EEWWW #GETOFFMYTV"
"positive","Hey guys tomorrow is now national Ground Hog day, I hope to see you all post about it!! Hahahaha"
"negative","How to know a shit bar!.. You get your arm stamped! If u wake up tomorrow with prints on your arm your a TWAT!"
"negative","#Loanwatch: Ben Amos is a doubt for tonight's Hull City game vs Doncaster (2nd round League Cup), with a groin problem."
"positive","I do!! "@WaterBearer131: @tanyCoutur3_ @NorthernBeauty_ Do you guys want to go see the new Denzel Washington movie tomorrow?""
"positive","@brittanyyxoxo @joyofmy_life @the_serbian @S_ephen good news I bought Candy today, bringing some on tues. if it lasts"
"negative","@ZachJayL  you won't be getting candy till monday. I am (by my own stupidity) a sick person right meow. .-."
"negative","on october 25 2011 I told taylor swift i wouldn't listen to her until she wrote about something else. one year later and here we are still."
"negative","Oh and Rafa said before the injury he was having the best year he ever had was 1st in the race... :( #M6"
"negative","@JamesDuffy01 of others...Jenelle may have made mistakes but she has time to change and be a better person...its too late for you...FUCKHEAD"
"positive","@blondieMua hahaha!! I do look good with a Greek child! I'm home tomorrow morning so I'll try Skyping you xx"
"positive","Good to see Flacco showing some fight in the 2nd half. That's about all I can ask for at this point."
"positive","Halloween is the third biggest party day of the year behind New Year's Eve and Super Bowl Sunday"
"positive","I'll stop loving Jennette on the 31st Feb. February has only 28 days so it doesn't count. &lt;3"
"positive","Awesome wedding shoot in Amsterdam today, excited fot the next one on Saturday in a castle in Utrecht... previews coming soon...."
"positive","Mitch Daniels gave Stephen Colbert a Purdue hat on Thursday's show... I hope he burns it in a raging flame of glory"
"positive","@MaherZain: Dr Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt"
"positive","Piss easy job analysing on MOTD2. They just repeat what Gary Neville says on Super Sunday."
"positive","going to finish watching The Vow tomorrow , its such a cute movie c:"
"positive","Bad Girls Club: Mexico...is so official now meaning most of the girls going off on each other. I can't wait until monday.  |D"
"positive","Just close your eyes The sun is going down You'll be alright No one can hurt you now Come morning light You and I'll be SAFE AND SOUND #NP"
"negative","@greysonchance it's not fair, dear... #truthbetold will be available in Taiwan on 2, Nov. It's TOMORROW!!"
"positive","Proper buzzing to watch The Vow with @_courtssx tomorrow;)"
"negative","That's complete crap. @sportsaholic007 Began and Sadat were all about peace. Bibi wants to use our military for free. @janie_austin &lt; C'mon"
